"species","site","n"
"boycei","Chiricahuas",1
"boycei","Chiricahuas West 3",1
"boycei","Chiricahuas cliff",7
"boycei","Chiricahuas-2078",1
"boycei","Iron Creek Campsite, Gila, NM",1
"boycei","McNarey, AZ",1
"boycei","McNary and White River",3
"boycei","Mt. Lemon",1
"boycei","Oak Creek scenic view",4
"boycei","Pinery Canyon",3
"boycei","Prescott",3
"boycei","Show Low, AZ",1
"boycei","Upper Gallinas",1
"completa","330 E, CO",1
"completa","Adair, IA",1
"completa","Andover",1
"completa","Avoca, IA",2
"completa","Belleville, KS",3
"completa","Braman, OK",1
"completa","Buckner, MO",5
"completa","Carlsbad",1
"completa","Clinton Park, KS",7
"completa","Cloudcroft, NM",1
"completa","Columbia",1
"completa","Concordia, KS",1
"completa","Decatur, IL",1
"completa","Detroit/Bluffs",4
"completa","Dover, MO",1
"completa","Edmond, OK",4
"completa","Fort Davis",4
"completa","Glencoe, NM",2
"completa","Grain Valley, MO",1
"completa","Grantville, KS A",1
"completa","Grantville, KS B",1
"completa","Gretna, NE",1
"completa","Hampton, NE",1
"completa","Hope, NM",2
"completa","Jacksonville, IL",2
"completa","Jefferson City",1
"completa","KU",3
"completa","Keytesville, MO",1
"completa","Lexington, MO",6
"completa","Lincoln, NE",1
"completa","Lindsborg, KS",2
"completa","Madison, MO",1
"completa","Mapleton, UT",2
"completa","Mayhill, NM",3
"completa","Mescalero, NM",2
"completa","Milford, KS",1
"completa","Monroe City, MO",4
"completa","Okawville",1
"completa","Omaha, NE",1
"completa","Overbrook, KS",1
"completa","Peru, IL",1
"completa","Picacho, NM",4
"completa","Pomona Lake, KS",1
"completa","Pomona, MO",1
"completa","Salisbury, MO",9
"completa","Silver Lake, KS",1
"completa","Springfield, IL",2
"completa","State St., KS",1
"completa","Stoutland, MO",1
"completa","Sullivan",1
"completa","Tonkawa, OK",2
"completa","Topeka, KS",1
"completa","Vienna, MO",1
"completa","Waverly, MO",5
"completa","Waverly, NE",4
"completa","Wellington, MO",1
"completa","York",1
"juglandis","Banjo Bill",1
"juglandis","Bayard, NM",1
"juglandis","Bedside Manor",2
"juglandis","Chircahua-2171",1
"juglandis","Chiricahuas",2
"juglandis","Chiricahuas West 3",1
"juglandis","Chiricahuas cliff",7
"juglandis","Chiricahuas-2078",1
"juglandis","Cloudcroft, NM",3
"juglandis","Eagar, AZ",1
"juglandis","Fort Davis",3
"juglandis","Glencoe, NM",3
"juglandis","Hillsboro, NM",5
"juglandis","Hope, NM",2
"juglandis","Indian Market",5
"juglandis","Iron Creek Campsite, Gila, NM",1
"juglandis","Jerome",1
"juglandis","Manzanita",1
"juglandis","Mayhill, NM",3
"juglandis","McNarey, AZ",1
"juglandis","McNary and White River",3
"juglandis","Mescalero, NM",3
"juglandis","Mingus Mt. ",1
"juglandis","Mt. Lemon",1
"juglandis","Mt. Lemon Cypress Picnic",1
"juglandis","Oak Creek Junipine Inn",1
"juglandis","Oak Creek campground",1
"juglandis","Oak Creek scenic view",5
"juglandis","Old Pump House",1
"juglandis","Picacho, NM",4
"juglandis","Pinery Canyon",3
"juglandis","Pinetop, AZ",1
"juglandis","Prescott",3
"juglandis","Prescott sign",3
"juglandis","Prescott summit",1
"juglandis","Reserve, NM",1
"juglandis","SW Research",3
"juglandis","Show Low, AZ",2
"juglandis","Slide Rock",2
"juglandis","Trogon house, AZ",1
"juglandis","Turkey Flats",1
"juglandis","Upper Gallinas",1
"juglandis","Washington Ranch",1
"juglandis","White Mountain, AZ",1
"suavis","1065585659",1
"suavis","1132414777",1
"suavis","1135338333",1
"suavis","1143517003",1
"suavis","1143522929",1
"suavis","Adair, IA",2
"suavis","Adele, IA",1
"suavis","Alabaster, AL",1
"suavis","Altoona, IA",1
"suavis","Andover",2
"suavis","Avoca, IA",3
"suavis","Buckner, MO",5
"suavis","Clinton Park, KS",3
"suavis","Colfax, IA",3
"suavis","Columbia",1
"suavis","Columbia, TN",1
"suavis","Council Bluffs",1
"suavis","Cross Plains, TN",1
"suavis","De Soto, IA",1
"suavis","Decatur, IL",3
"suavis","Detroit/Bluffs",4
"suavis","Durham, NC",1
"suavis","East Lansing, MI",4
"suavis","Franklin, TN",1
"suavis","Grain Valley, MO",1
"suavis","Grantville, KS A",1
"suavis","Iowa City, IA",2
"suavis","Jacksonville, IL",2
"suavis","Jefferson City",1
"suavis","Joliet, IL",1
"suavis","Joliet, IL B",1
"suavis","KU",1
"suavis","Keokuk, IA",1
"suavis","Keytesville, MO",1
"suavis","Knoxville, TN",1
"suavis","Lexington, MO",4
"suavis","Lincoln, NE",1
"suavis","Madison, MO",1
"suavis","Memphis, MO",1
"suavis","Mishawaka, IN",1
"suavis","Moline, IL",1
"suavis","Moline, IL B",1
"suavis","Monroe City, MO",3
"suavis","Montgomery, AL",1
"suavis","Mt. Pleasant",1
"suavis","Mt.Pleasant",1
"suavis","ND",4
"suavis","Okawville",1
"suavis","Omaha, NE",1
"suavis","Ottumwa, IA",1
"suavis","Pelmyra, MO",1
"suavis","Peru, IL",3
"suavis","Quincy, IL",1
"suavis","Rolling Prarie, IN",1
"suavis","Salisbury, MO",6
"suavis","Shepardsville, KY",1
"suavis","Silver Lake, KS",1
"suavis","Springfield, IL",2
"suavis","Stoutland, MO",1
"suavis","Sullivan",1
"suavis","Terre Haute, IN",1
"suavis","Urbana",2
"suavis","Vandalia",1
"suavis","Vienna, MO",1
"suavis","Walnut, IA",1
"suavis","Waverly, MO",3
"suavis","Waverly, NE",3
"suavis","Williamsburg, IA",2
"suavis","York",1
