Week,Date,Topic,Assignments
1,Thur. Jan. 17,[Experimental design and introduction](lessons/introduction/introduction-lesson),Introduction in Slack (completed in class)
2,Tues. Jan. 23,[Basic R](lessons/baseR/baseR-lesson) <br> *Last day to add/drop course*,[Download R and R studio](lessons/introduction/download-R.html)
,Thur. Jan. 25,Data manipulation and tidy data with dplyr,Base R activity <br> Scientific article introduction
3,Tues. Jan. 30,Graphing data with ggplot,Data manipulation activity <br> Graphing lies reading
,Thur. Feb. 1,Statistics,Graphing activity <br> Scientific article results
4,Tues. Feb. 6,Data ethics guest speaker,Figure captions and results
,Thur. Feb. 8,Raleigh water data analysis (catch up day),Scientific articles discussion <br> Discussion outline (in class)
5,Tues. Feb. 13,Review activity,Infographic group project
,Thur. Feb. 15,**Exam 1**,
6,Tues. Feb. 20,Introduction to water quality analysis,Scientific article summary
,Thur. Feb. 22,Field collections: Crabtree Creek,Data collection pre-lab quiz
7,Tues. Feb. 27,Field collections: Prairie Ridge,Lab notebook 1 <br> Field collection methods
,Thur. Feb. 29,Water quality lab,Lab notebook 2 <br> Chemical tests pre-lab quiz
8,Tues. Mar. 5,Data analysis ,Lab notebook 3 <br> Results write up
,Thurs. Mar. 7,Presentation of results (catch up),Conclusions write up
9,Mar. 11-15,*No class; Spring Break*,
10,Tues. Mar. 19,Introduction to class project,Extra credit poster due
,Thur. Mar. 21,Advanced R,Proposals for data analysis
11,Tues. Mar. 26,Spatial data analysis/mapping,Advanced R activity
,Wed. Mar. 27,*Last day to withdraw with a “W”*,
,Thur. Mar. 28,Spatial data analysis/mapping,Mapping activity
12,Tues. Apr. 2,Water quality project,Water quality check in
,Thur. Apr. 4,Water quality project,
13,Tues. Apr. 9,Water quality project,Water quality check in presentation
,Thur. Apr. 11,Water quality project,Group analysis due
14,Tues. Apr. 16,Water quality project and peer review,Final check in
,Thur. Apr. 18,Final project work day,
15,Tues. Apr. 23,No class; WPU Showcase,
,Thurs. Apr. 25,Aquatic invertebrate collections,Pre-lab quiz
16,Tues. Apr. 30,Final presentations (tentative),
,"Friday, May 3 ",**Exam 2 at 8:00 AM**,
